index,offset,hp_old,atk_old,def_old,agi_old,men_old,res_old,exp_old,silver_old,hp_new,atk_new,def_new,agi_new,men_new,res_new,exp_new,silver_new
27,0x8d560,141,143,144,173,174,175,238,239,151,146,182,179,133,197,248,307
28,0x8d580,141,143,144,173,174,175,238,239,125,183,111,156,134,214,239,225
29,0x8d5a0,301,303,304,333,334,335,398,399,421,307,394,388,367,461,545,309
30,0x8d5c0,3,516,9279,513,416,416,256,1028,3,509,11687,603,536,343,355,971
31,0x8d5e0,2306,4,21,22,53,54,181,182,2483,5,17,30,59,45,203,173
32,0x8d600,214,104,5,4,21,22,149,150,164,112,4,4,18,21,159,115
33,0x8d620,182,214,105,104,5,4,117,118,173,232,80,103,6,3,115,97
34,0x8d640,150,182,213,214,105,104,260,261,134,218,230,257,105,83,219,231
35,0x8d660,293,325,356,357,388,389,0,0,252,255,414,468,541,513,0,0
37,0x8d6a0,15369,416,416,384,385,416,1028,141,13551,515,501,518,305,470,1271,178
38,0x8d6c0,143,173,174,175,176,205,240,141,149,139,199,158,176,247,184,194
39,0x8d6e0,143,173,174,175,176,205,240,141,187,133,234,192,210,275,288,108
40,0x8d700,143,173,174,175,176,205,240,301,193,180,217,211,184,251,226,232
41,0x8d720,303,333,334,335,336,365,400,2,263,406,433,314,272,403,536,2
42,0x8d740,516,258,416,416,384,385,15880,1028,564,248,318,472,397,395,15509,1125
43,0x8d760,142,144,173,174,175,176,239,240,156,131,149,200,144,193,316,258
44,0x8d780,142,144,173,174,175,176,239,240,156,124,198,226,220,136,238,196
45,0x8d7a0,142,144,173,174,175,176,239,240,161,157,134,190,207,165,327,315
46,0x8d7c0,302,304,333,334,335,336,399,400,414,410,401,296,345,309,491,310
47,0x8d7e0,256,15909,258,416,416,384,1028,16926,341,19052,338,575,348,489,876,18753
48,0x8d800,5,21,22,53,54,85,182,213,5,23,24,48,72,95,189,245
49,0x8d820,105,5,4,21,22,53,150,181,116,6,4,16,27,44,162,145
50,0x8d840,213,105,104,5,4,21,118,149,253,105,92,5,6,20,105,182
51,0x8d860,181,213,214,105,104,164,261,292,203,278,251,138,99,190,241,369
52,0x8d880,324,356,357,388,389,420,0,0,383,311,303,299,481,345,0,0
54,0x8d8c0,513,448,417,449,416,448,5,4,416,388,386,604,579,412,6,5
55,0x8d8e0,22,54,85,86,117,118,105,104,18,64,89,82,101,110,90,138
56,0x8d900,4,22,53,54,85,86,213,214,4,20,58,48,68,81,200,243
57,0x8d920,104,4,21,22,53,54,181,182,120,5,21,30,70,66,236,189
58,0x8d940,214,104,164,165,196,197,324,325,235,127,175,200,239,270,256,449
59,0x8d960,357,389,420,421,257,1028,0,0,354,379,525,381,265,1137,0,0
61,0x8d9a0,384,416,416,384,385,256,22,53,358,488,400,424,402,230,29,65
62,0x8d9c0,85,117,118,149,150,181,4,21,80,117,127,145,151,168,4,17
63,0x8d9e0,53,85,86,117,118,149,104,5,51,111,111,127,133,199,88,6
64,0x8da00,21,53,54,85,86,117,214,105,22,50,54,67,79,160,279,137
65,0x8da20,164,196,197,228,229,260,357,388,187,241,180,225,318,227,446,422
66,0x8da40,420,257,1028,14414,514,0,0,0,522,308,1086,19271,416,0,0,0
68,0x8da80,448,449,256,1028,16960,2306,85,86,423,399,257,1226,18478,2543,105,114
69,0x8daa0,118,150,181,182,213,214,53,54,96,170,146,233,181,237,61,60
70,0x8dac0,86,118,149,150,181,182,21,22,104,126,159,147,212,214,20,28
71,0x8dae0,54,86,117,118,149,150,164,165,60,103,98,99,141,160,205,216
72,0x8db00,197,229,260,261,292,293,420,453,157,320,308,237,251,237,396,451
73,0x8db20,1028,514,0,0,0,0,0,0,1203,718,0,0,0,0,0,0
74,0x8db40,293,325,3,256,516,16981,416,384,378,292,4,326,392,13586,327,473
75,0x8db60,256,16974,2306,5,4,21,118,149,273,16211,1826,4,4,26,151,128
76,0x8db80,181,213,214,5,104,5,86,117,160,276,203,5,81,5,68,145
77,0x8dba0,149,181,182,213,214,5,54,85,138,158,144,241,259,6,44,82
78,0x8dbc0,117,149,150,181,182,213,197,228,131,116,177,203,206,262,167,315
79,0x8dbe0,260,292,293,324,325,356,1028,17998,361,365,261,398,348,377,958,17238
81,0x8dc20,3,516,22543,513,416,416,256,1028,3,447,19383,699,470,479,218,1434
82,0x8dc40,2306,4,21,22,53,54,181,182,2336,5,24,22,62,42,253,197
83,0x8dc60,214,104,5,4,21,22,149,150,201,86,7,4,26,30,184,134
84,0x8dc80,182,214,105,104,5,4,117,118,187,171,89,135,6,4,154,150
85,0x8dca0,150,182,213,214,105,104,260,261,117,160,262,257,93,125,227,231
86,0x8dcc0,293,325,356,357,388,389,0,0,380,387,392,363,329,500,0,0
88,0x8dd00,25111,416,416,384,385,416,1028,141,25674,369,352,410,490,490,1383,130
89,0x8dd20,143,173,174,175,176,205,240,141,150,169,191,191,148,196,210,117
90,0x8dd40,143,173,174,175,176,205,240,141,185,212,165,198,214,278,266,108
91,0x8dd60,143,173,174,175,176,205,240,301,160,204,184,181,220,280,219,342
92,0x8dd80,303,333,334,335,336,365,400,2,315,327,274,417,364,400,492,2
93,0x8dda0,516,513,416,448,384,449,7176,1028,486,489,361,614,462,534,9031,951
94,0x8ddc0,142,144,173,174,175,176,239,240,164,146,147,197,210,153,320,282
95,0x8dde0,142,144,173,174,175,176,239,240,153,200,209,227,139,208,197,322
96,0x8de00,142,144,173,174,175,176,239,240,165,151,236,186,166,154,329,251
97,0x8de20,302,304,333,334,335,336,399,400,340,269,330,429,334,263,520,390
98,0x8de40,256,8229,258,416,416,384,1028,8208,296,7879,313,555,393,477,960,11481
99,0x8de60,5,21,23,53,55,85,183,213,6,18,24,40,62,85,174,177
100,0x8de80,105,5,511,21,23,53,151,181,98,6,625,21,20,68,205,248
101,0x8dea0,213,105,511,5,511,21,119,149,268,125,675,7,648,23,114,203
102,0x8dec0,181,213,215,105,511,166,263,294,230,254,207,136,619,188,286,373
103,0x8dee0,326,358,359,390,391,422,0,0,323,396,321,295,378,528,0,0
105,0x8df20,513,448,384,449,416,448,511,4,625,602,314,345,479,414,630,4
106,0x8df40,22,54,88,86,120,118,511,104,28,41,100,85,164,150,524,81
107,0x8df60,4,22,56,54,88,86,216,214,3,28,66,69,112,80,165,229
108,0x8df80,104,4,24,22,56,54,184,182,124,4,33,29,51,70,227,204
109,0x8dfa0,214,104,168,169,200,201,328,329,216,93,181,188,269,254,275,271
110,0x8dfc0,361,393,424,425,257,1028,0,0,294,512,382,396,339,832,0,0
112,0x8e000,15,45,46,47,48,77,112,305,13,39,41,42,64,62,155,286
113,0x8e020,307,337,338,339,340,369,404,257,405,440,302,330,426,323,381,216
114,0x8e040,9224,13,14,15,16,45,0,0,8940,17,14,19,16,38,0,0
116,0x8e080,78,80,109,110,111,112,339,340,93,99,87,107,87,144,327,258
117,0x8e0a0,370,372,401,402,403,404,15,16,435,445,403,445,563,349,16,17
119,0x8e0e0,13,15,16,45,46,47,110,111,10,14,14,45,50,36,130,135
120,0x8e100,305,307,308,337,338,339,402,403,334,302,235,351,419,441,553,345
121,0x8e120,257,14358,516,13,14,15,0,0,335,16763,461,13,15,17,0,0
123,0x8e160,395,256,1026,24585,514,209,395,2,326,326,1230,22615,501,168,441,2
124,0x8e180,1026,770,193,193,271,272,399,400,1193,721,148,191,234,311,407,553
125,0x8e1a0,1026,514,238,240,271,272,1026,27445,998,528,316,221,353,352,1218,30762
126,0x8e1c0,193,271,272,303,303,335,1026,27445,146,214,210,353,289,294,849,26252
127,0x8e1e0,238,271,272,335,336,367,21,22,326,253,329,373,469,324,19,23
