index,offset,hp_old,atk_old,def_old,agi_old,men_old,res_old,exp_old,silver_old,hp_new,atk_new,def_new,agi_new,men_new,res_new,exp_new,silver_new
35,0x8d660,293,325,356,357,388,389,0,0,387,322,304,461,468,446,0,0
37,0x8d6a0,15369,416,416,384,385,416,1028,141,21389,489,314,492,364,491,1398,118
38,0x8d6c0,143,173,174,175,176,205,240,141,118,142,193,162,201,249,212,164
39,0x8d6e0,143,173,174,175,176,205,240,141,132,185,233,227,143,210,223,106
40,0x8d700,143,173,174,175,176,205,240,301,179,201,160,216,195,211,182,240
41,0x8d720,303,333,334,335,336,365,400,2,401,445,369,433,379,309,333,2
42,0x8d740,516,258,416,416,384,385,15880,1028,689,327,545,555,340,351,12971,1292
43,0x8d760,142,144,173,174,175,176,239,240,188,146,200,148,237,231,331,306
44,0x8d780,142,144,173,174,175,176,239,240,188,110,213,168,237,224,313,306
45,0x8d7a0,142,144,173,174,175,176,239,240,131,182,142,229,229,157,306,252
46,0x8d7c0,302,304,333,334,335,336,399,400,286,385,299,256,293,324,523,551
47,0x8d7e0,256,15909,258,416,416,384,1028,16926,238,18565,261,577,457,522,848,23371
48,0x8d800,5,21,22,53,54,85,182,213,4,29,20,43,56,104,174,244
49,0x8d820,105,5,4,21,22,53,150,181,114,5,4,19,27,40,203,199
50,0x8d840,213,105,104,5,4,21,118,149,259,129,123,5,3,25,114,142
51,0x8d860,181,213,214,105,104,164,261,292,236,259,202,100,106,166,246,243
52,0x8d880,324,356,357,388,389,420,0,0,332,485,425,519,447,397,0,0
54,0x8d8c0,513,448,417,449,416,448,5,4,567,336,391,462,469,527,5,4
55,0x8d8e0,22,54,85,86,117,118,105,104,20,57,114,109,101,95,114,121
56,0x8d900,4,22,53,54,85,86,213,214,4,28,66,64,76,76,163,195
57,0x8d920,104,4,21,22,53,54,181,182,110,5,17,22,61,47,218,195
58,0x8d940,214,104,164,165,196,197,324,325,194,122,124,204,245,161,333,281
59,0x8d960,357,389,420,421,257,1028,0,0,490,423,329,384,334,1076,0,0
61,0x8d9a0,384,416,416,384,385,256,22,53,488,493,579,437,526,340,25,65
62,0x8d9c0,85,117,118,149,150,181,4,21,92,151,131,199,185,192,4,19
63,0x8d9e0,53,85,86,117,118,149,104,5,62,106,94,135,110,119,97,5
64,0x8da00,21,53,54,85,86,117,214,105,20,58,45,77,103,141,169,107
65,0x8da20,164,196,197,228,229,260,357,388,181,200,174,233,306,294,429,507
66,0x8da40,420,257,1028,14414,514,0,0,0,524,256,775,14106,637,0,0,0
68,0x8da80,448,449,256,1028,16960,2306,85,86,585,615,262,1270,18741,2634,76,77
69,0x8daa0,118,150,181,182,213,214,53,54,122,115,175,217,216,183,56,45
70,0x8dac0,86,118,149,150,181,182,21,22,99,91,150,168,139,213,18,23
71,0x8dae0,54,86,117,118,149,150,164,165,42,86,104,114,185,149,203,213
72,0x8db00,197,229,260,261,292,293,420,453,180,184,198,287,409,286,492,570
73,0x8db20,1028,514,0,0,0,0,0,0,1207,637,0,0,0,0,0,0
74,0x8db40,293,325,3,256,516,16981,416,384,401,286,2,217,429,20125,464,342
75,0x8db60,256,16974,2306,5,4,21,118,149,308,21192,1981,6,5,17,151,205
76,0x8db80,181,213,214,5,104,5,86,117,148,163,204,6,143,5,104,94
77,0x8dba0,149,181,182,213,214,5,54,85,179,210,149,267,279,6,45,118
78,0x8dbc0,117,149,150,181,182,213,197,228,147,145,154,179,196,207,257,293
79,0x8dbe0,260,292,293,324,325,356,1028,17998,213,401,341,418,393,368,1261,24793
81,0x8dc20,3,516,22543,513,416,416,256,1028,3,658,24793,546,430,510,237,1340
82,0x8dc40,2306,4,21,22,53,54,181,182,2975,3,28,20,56,62,180,140
83,0x8dc60,214,104,5,4,21,22,149,150,279,90,4,5,20,29,180,139
84,0x8dc80,182,214,105,104,5,4,117,118,138,292,85,127,5,5,140,138
85,0x8dca0,150,182,213,214,105,104,260,261,160,230,173,191,126,99,293,276
86,0x8dcc0,293,325,356,357,388,389,0,0,321,334,440,345,468,360,0,0
88,0x8dd00,25111,416,416,384,385,416,1028,141,22937,345,364,318,423,518,895,126
89,0x8dd20,143,173,174,175,176,205,240,141,152,211,241,191,164,167,210,127
90,0x8dd40,143,173,174,175,176,205,240,141,124,131,191,162,243,227,289,117
91,0x8dd60,143,173,174,175,176,205,240,301,188,185,229,197,186,212,209,236
92,0x8dd80,303,333,334,335,336,365,400,2,413,353,429,339,268,423,314,2
93,0x8dda0,516,513,416,448,384,449,7176,1028,576,486,581,370,479,514,9070,922
94,0x8ddc0,142,144,173,174,175,176,239,240,155,150,180,228,244,167,276,275
95,0x8dde0,142,144,173,174,175,176,239,240,175,197,153,154,206,150,206,192
96,0x8de00,142,144,173,174,175,176,239,240,107,150,197,163,158,213,288,251
97,0x8de20,302,304,333,334,335,336,399,400,361,411,420,386,395,456,410,442
98,0x8de40,256,8229,258,416,416,384,1028,8208,300,11031,332,331,357,365,1271,9193
99,0x8de60,5,21,23,53,55,85,183,213,5,17,28,64,75,91,196,171
100,0x8de80,105,5,511,21,23,53,151,181,81,5,490,19,19,73,195,203
101,0x8dea0,213,105,511,5,511,21,119,149,291,147,607,5,397,26,126,175
102,0x8dec0,181,213,215,105,511,166,263,294,244,185,243,122,547,134,257,284
103,0x8dee0,326,358,359,390,391,422,0,0,387,468,346,468,367,576,0,0
105,0x8df20,513,448,384,449,416,448,511,4,656,496,402,429,399,619,517,4
106,0x8df40,22,54,88,86,120,118,511,104,31,64,97,88,105,116,635,120
107,0x8df60,4,22,56,54,88,86,216,214,5,19,62,73,91,104,179,296
108,0x8df80,104,4,24,22,56,54,184,182,119,4,20,24,62,44,257,244
109,0x8dfa0,214,104,168,169,200,201,328,329,225,86,217,181,243,217,304,425
110,0x8dfc0,361,393,424,425,257,1028,0,0,501,357,470,425,347,1111,0,0
112,0x8e000,15,45,46,47,48,77,112,305,20,59,43,59,49,105,121,391
113,0x8e020,307,337,338,339,340,369,404,257,287,318,382,474,363,312,444,250
114,0x8e040,9224,13,14,15,16,45,0,0,10227,14,15,14,14,54,0,0
116,0x8e080,78,80,109,110,111,112,339,340,87,72,137,86,137,135,433,340
117,0x8e0a0,370,372,401,402,403,404,15,16,437,477,556,431,312,435,17,21
119,0x8e0e0,13,15,16,45,46,47,110,111,17,16,17,47,56,48,129,94
120,0x8e100,305,307,308,337,338,339,402,403,322,424,299,404,396,442,524,527
121,0x8e120,257,14358,516,13,14,15,0,0,256,13724,628,16,18,12,0,0
123,0x8e160,395,256,1026,24585,514,209,395,2,314,297,1384,34378,635,216,322,2
124,0x8e180,1026,770,193,193,271,272,399,400,1351,800,232,258,211,345,375,397
125,0x8e1a0,1026,514,238,240,271,272,1026,27445,867,563,266,304,233,218,1350,31639
126,0x8e1c0,193,271,272,303,303,335,1026,27445,175,364,229,318,277,307,776,34938
127,0x8e1e0,238,271,272,335,336,367,21,22,318,323,232,347,327,415,24,23
