index,offset,hp_old,atk_old,def_old,agi_old,men_old,res_old,exp_old,silver_old,hp_new,atk_new,def_new,agi_new,men_new,res_new,exp_new,silver_new
74,0x8db40,293,325,3,256,516,16981,416,384,271,332,3,314,719,23645,558,452
75,0x8db60,256,16974,2306,5,4,21,118,149,249,16564,2639,5,5,27,91,159
76,0x8db80,181,213,214,5,104,5,86,117,138,272,196,6,91,5,112,118
77,0x8dba0,149,181,182,213,214,5,54,85,133,142,185,169,261,6,64,106
78,0x8dbc0,117,149,150,181,182,213,197,228,110,158,121,196,198,205,188,221
79,0x8dbe0,260,292,293,324,325,356,1028,17998,226,407,384,280,298,486,1353,19588
81,0x8dc20,3,516,22543,513,416,416,256,1028,3,423,25836,456,437,369,277,1123
82,0x8dc40,2306,4,21,22,53,54,181,182,2499,5,19,29,57,60,235,175
83,0x8dc60,214,104,5,4,21,22,149,150,299,104,6,4,18,24,207,184
84,0x8dc80,182,214,105,104,5,4,117,118,152,274,124,82,6,3,148,161
85,0x8dca0,150,182,213,214,105,104,260,261,130,168,235,210,110,91,204,227
86,0x8dcc0,293,325,356,357,388,389,0,0,249,379,380,394,298,348,0,0
88,0x8dd00,25111,416,416,384,385,416,1028,141,24777,459,438,474,328,400,1249,109
89,0x8dd20,143,173,174,175,176,205,240,141,108,140,197,211,225,188,298,121
90,0x8dd40,143,173,174,175,176,205,240,141,125,222,178,181,227,176,215,194
91,0x8dd60,143,173,174,175,176,205,240,301,127,148,243,179,180,268,290,415
92,0x8dd80,303,333,334,335,336,365,400,2,351,345,456,383,272,487,492,2
93,0x8dda0,516,513,416,448,384,449,7176,1028,413,623,480,382,331,524,6265,1404
94,0x8ddc0,142,144,173,174,175,176,239,240,197,111,239,204,235,222,224,237
95,0x8dde0,142,144,173,174,175,176,239,240,107,157,229,226,187,148,302,267
96,0x8de00,142,144,173,174,175,176,239,240,196,151,198,198,237,209,230,220
97,0x8de20,302,304,333,334,335,336,399,400,360,319,325,430,366,368,325,372
98,0x8de40,256,8229,258,416,416,384,1028,8208,198,9329,205,561,465,384,1202,9224
99,0x8de60,5,21,23,53,55,85,183,213,5,22,18,71,46,70,148,234
100,0x8de80,105,5,511,21,23,53,151,181,96,7,632,17,26,44,208,242
101,0x8dea0,213,105,511,5,511,21,119,149,259,100,540,5,681,25,120,162
102,0x8dec0,181,213,215,105,511,166,263,294,236,218,230,119,529,207,298,333
103,0x8dee0,326,358,359,390,391,422,0,0,347,272,490,390,302,444,0,0
105,0x8df20,513,448,384,449,416,448,511,4,432,406,418,415,429,550,392,5
106,0x8df40,22,54,88,86,120,118,511,104,24,74,73,85,107,94,440,105
107,0x8df60,4,22,56,54,88,86,216,214,3,18,78,55,66,75,199,272
108,0x8df80,104,4,24,22,56,54,184,182,113,5,19,19,75,48,239,232
109,0x8dfa0,214,104,168,169,200,201,328,329,239,139,186,131,275,279,394,427
110,0x8dfc0,361,393,424,425,257,1028,0,0,392,533,582,568,354,1206,0,0
112,0x8e000,15,45,46,47,48,77,112,305,21,35,37,55,45,58,129,237
113,0x8e020,307,337,338,339,340,369,404,257,415,268,407,375,376,401,445,275
114,0x8e040,9224,13,14,15,16,45,0,0,7237,13,15,16,15,34,0,0
116,0x8e080,78,80,109,110,111,112,339,340,78,65,130,95,100,125,365,329
117,0x8e0a0,370,372,401,402,403,404,15,16,345,435,345,326,392,499,13,22
119,0x8e0e0,13,15,16,45,46,47,110,111,17,19,21,48,55,56,106,119
120,0x8e100,305,307,308,337,338,339,402,403,252,231,307,464,363,346,450,436
121,0x8e120,257,14358,516,13,14,15,0,0,252,17699,585,15,13,15,0,0
123,0x8e160,395,256,1026,24585,514,209,395,2,359,243,1220,29308,575,198,433,3
124,0x8e180,1026,770,193,193,271,272,399,400,998,946,234,219,246,287,544,458
125,0x8e1a0,1026,514,238,240,271,272,1026,27445,1105,607,196,200,311,259,1041,25080
126,0x8e1c0,193,271,272,303,303,335,1026,27445,200,255,231,352,228,379,834,35425
127,0x8e1e0,238,271,272,335,336,367,21,22,247,215,272,311,420,449,27,20
