index,offset,hp_old,atk_old,def_old,agi_old,men_old,res_old,exp_old,silver_old,hp_new,atk_new,def_new,agi_new,men_new,res_new,exp_new,silver_new
32,0x8d600,214,104,5,4,21,22,149,150,240,129,5,4,28,30,186,132
33,0x8d620,182,214,105,104,5,4,117,118,182,241,123,101,4,6,95,124
34,0x8d640,150,182,213,214,105,104,260,261,115,145,192,171,126,131,216,323
35,0x8d660,293,325,356,357,388,389,0,0,271,418,392,435,347,313,0,0
37,0x8d6a0,15369,416,416,384,385,416,1028,141,20544,470,567,460,441,383,821,129
38,0x8d6c0,143,173,174,175,176,205,240,141,137,178,229,159,199,166,242,136
39,0x8d6e0,143,173,174,175,176,205,240,141,150,168,238,216,215,207,332,161
40,0x8d700,143,173,174,175,176,205,240,301,159,144,142,228,218,256,335,417
41,0x8d720,303,333,334,335,336,365,400,2,236,395,331,345,285,285,338,2
42,0x8d740,516,258,416,416,384,385,15880,1028,606,239,546,491,443,337,19077,807
43,0x8d760,142,144,173,174,175,176,239,240,140,194,233,194,197,144,218,207
44,0x8d780,142,144,173,174,175,176,239,240,107,115,177,157,138,200,327,305
45,0x8d7a0,142,144,173,174,175,176,239,240,171,137,144,173,182,240,231,295
46,0x8d7c0,302,304,333,334,335,336,399,400,330,333,309,292,354,451,480,425
47,0x8d7e0,256,15909,258,416,416,384,1028,16926,216,13703,335,333,371,350,830,16017
48,0x8d800,5,21,22,53,54,85,182,213,6,21,22,70,69,84,196,165
49,0x8d820,105,5,4,21,22,53,150,181,98,4,5,27,23,70,196,143
50,0x8d840,213,105,104,5,4,21,118,149,277,99,132,4,4,29,114,144
51,0x8d860,181,213,214,105,104,164,261,292,152,202,192,98,121,159,329,286
52,0x8d880,324,356,357,388,389,420,0,0,389,449,417,314,521,413,0,0
54,0x8d8c0,513,448,417,449,416,448,5,4,424,526,468,439,551,465,5,4
55,0x8d8e0,22,54,85,86,117,118,105,104,20,55,66,115,109,136,95,108
56,0x8d900,4,22,53,54,85,86,213,214,3,21,56,62,99,88,217,197
57,0x8d920,104,4,21,22,53,54,181,182,114,4,23,20,68,51,235,250
58,0x8d940,214,104,164,165,196,197,324,325,168,145,210,139,188,267,371,427
59,0x8d960,357,389,420,421,257,1028,0,0,310,391,410,482,211,1360,0,0
61,0x8d9a0,384,416,416,384,385,256,22,53,390,386,571,489,358,330,26,53
62,0x8d9c0,85,117,118,149,150,181,4,21,78,116,154,150,154,236,4,28
63,0x8d9e0,53,85,86,117,118,149,104,5,68,78,69,100,110,183,144,6
64,0x8da00,21,53,54,85,86,117,214,105,17,47,57,93,81,132,194,119
65,0x8da20,164,196,197,228,229,260,357,388,176,173,171,296,295,297,352,399
66,0x8da40,420,257,1028,14414,514,0,0,0,357,215,1009,17793,442,0,0,0
68,0x8da80,448,449,256,1028,16960,2306,85,86,370,616,248,922,13871,2001,104,102
69,0x8daa0,118,150,181,182,213,214,53,54,120,190,151,154,239,274,40,49
70,0x8dac0,86,118,149,150,181,182,21,22,117,92,188,188,232,170,24,25
71,0x8dae0,54,86,117,118,149,150,164,165,47,95,149,95,195,197,197,150
72,0x8db00,197,229,260,261,292,293,420,453,229,209,288,342,393,326,425,621
73,0x8db20,1028,514,0,0,0,0,0,0,1057,683,0,0,0,0,0,0
74,0x8db40,293,325,3,256,516,16981,416,384,275,260,2,290,451,13815,439,529
75,0x8db60,256,16974,2306,5,4,21,118,149,308,20498,2331,6,5,28,89,168
76,0x8db80,181,213,214,5,104,5,86,117,240,165,197,5,126,4,110,156
77,0x8dba0,149,181,182,213,214,5,54,85,127,194,198,235,287,5,45,102
78,0x8dbc0,117,149,150,181,182,213,197,228,124,131,207,170,244,297,215,175
79,0x8dbe0,260,292,293,324,325,356,1028,17998,294,393,329,327,274,338,1401,21918
81,0x8dc20,3,516,22543,513,416,416,256,1028,2,622,23555,533,384,538,308,1341
82,0x8dc40,2306,4,21,22,53,54,181,182,2917,5,16,27,41,54,202,230
83,0x8dc60,214,104,5,4,21,22,149,150,199,107,4,5,16,26,117,162
84,0x8dc80,182,214,105,104,5,4,117,118,145,174,81,144,5,5,126,162
85,0x8dca0,150,182,213,214,105,104,260,261,182,191,193,221,104,79,347,328
86,0x8dcc0,293,325,356,357,388,389,0,0,310,374,464,359,370,347,0,0
88,0x8dd00,25111,416,416,384,385,416,1028,141,30191,366,393,463,507,348,1214,117
89,0x8dd20,143,173,174,175,176,205,240,141,124,141,191,145,236,283,188,112
90,0x8dd40,143,173,174,175,176,205,240,141,165,227,149,227,140,240,329,130
91,0x8dd60,143,173,174,175,176,205,240,301,157,131,237,169,168,161,225,240
92,0x8dd80,303,333,334,335,336,365,400,2,332,330,299,330,341,276,458,2
93,0x8dda0,516,513,416,448,384,449,7176,1028,616,672,352,458,373,415,8286,844
94,0x8ddc0,142,144,173,174,175,176,239,240,162,133,140,153,226,134,323,273
95,0x8dde0,142,144,173,174,175,176,239,240,109,146,220,187,165,168,279,187
96,0x8de00,142,144,173,174,175,176,239,240,189,109,241,200,177,173,228,317
97,0x8de20,302,304,333,334,335,336,399,400,343,257,397,370,430,374,331,365
98,0x8de40,256,8229,258,416,416,384,1028,8208,240,7585,333,474,457,359,1047,7159
99,0x8de60,5,21,23,53,55,85,183,213,7,24,20,48,69,102,232,238
100,0x8de80,105,5,511,21,23,53,151,181,91,5,596,24,25,58,147,185
101,0x8dea0,213,105,511,5,511,21,119,149,205,102,676,6,695,27,128,172
102,0x8dec0,181,213,215,105,511,166,263,294,204,256,237,144,437,171,247,331
103,0x8dee0,326,358,359,390,391,422,0,0,373,340,277,344,403,505,0,0
105,0x8df20,513,448,384,449,416,448,511,4,397,344,522,448,331,381,534,4
106,0x8df40,22,54,88,86,120,118,511,104,28,56,109,69,134,150,521,136
107,0x8df60,4,22,56,54,88,86,216,214,5,27,76,51,86,106,268,215
108,0x8df80,104,4,24,22,56,54,184,182,119,5,31,18,67,50,252,222
109,0x8dfa0,214,104,168,169,200,201,328,329,205,96,174,219,216,232,420,272
110,0x8dfc0,361,393,424,425,257,1028,0,0,293,448,551,442,244,1153,0,0
112,0x8e000,15,45,46,47,48,77,112,305,21,45,51,53,51,89,96,407
113,0x8e020,307,337,338,339,340,369,404,257,334,358,467,308,424,310,320,306
114,0x8e040,9224,13,14,15,16,45,0,0,7229,11,11,20,20,50,0,0
116,0x8e080,78,80,109,110,111,112,339,340,61,64,90,87,152,129,437,331
117,0x8e0a0,370,372,401,402,403,404,15,16,425,518,531,381,560,487,19,21
119,0x8e0e0,13,15,16,45,46,47,110,111,15,12,13,49,36,50,141,152
120,0x8e100,305,307,308,337,338,339,402,403,265,371,291,309,269,341,505,401
121,0x8e120,257,14358,516,13,14,15,0,0,348,13637,622,11,15,20,0,0
123,0x8e160,395,256,1026,24585,514,209,395,2,449,292,995,26412,672,251,489,2
124,0x8e180,1026,770,193,193,271,272,399,400,1316,1001,228,237,241,281,340,382
125,0x8e1a0,1026,514,238,240,271,272,1026,27445,987,535,197,322,229,247,1374,31935
126,0x8e1c0,193,271,272,303,303,335,1026,27445,237,315,248,282,352,312,1272,35688
127,0x8e1e0,238,271,272,335,336,367,21,22,242,364,208,272,337,307,23,26
