index,type,level,hp,attack,defense,agility,wisdom,mdef,range,atk2,num_attacks,exp,silver
63,14,39,279,228,100,30,160,10,19,15,2,759,279
64,25,35,185,225,50,64,36,50,24,8,1,733,181
65,31,37,234,186,52,64,50,10,19,10,1,750,184
66,24,43,360,288,60,53,90,60,30,15,1,902,216
67,23,40,315,216,60,58,65,70,24,15,1,876,194
68,24,41,315,239,80,60,150,60,30,8,2,888,287
69,22,42,243,219,80,60,60,80,24,8,2,915,199
70,31,44,378,274,100,60,86,70,24,15,1,932,230
71,24,40,288,178,20,66,100,70,30,3,1,906,211
72,31,42,297,214,60,64,78,70,30,7,2,923,288
73,24,43,243,194,50,66,60,70,30,15,1,1191,292
74,22,46,250,332,80,65,80,120,24,15,1,1191,225
75,22,46,378,346,140,78,250,70,20,20,1,1596,247
76,24,43,297,274,110,56,70,100,30,3,1,1208,208
77,24,46,495,311,60,60,89,120,19,18,1,1225,304
78,24,66,599,144,150,60,100,200,30,22,2,1984,450
79,24,46,324,250,1,76,80,150,21,15,2,1553,234
80,3,2,18,52,20,20,10,8,10,1,1,3,18
81,17,7,32,40,16,20,10,10,10,2,1,3,22
82,25,6,26,58,25,20,24,18,8,2,1,4,18
83,2,10,56,82,16,26,30,24,14,2,1,10,32
84,24,12,20,93,24,35,45,24,20,3,1,6,71
85,3,14,40,113,50,21,59,15,8,5,1,8,61
86,6,15,63,118,20,35,39,29,10,4,1,10,69
87,2,17,77,104,5,31,45,50,8,6,1,15,74
88,22,17,81,130,30,38,40,40,12,2,1,18,41
89,4,19,108,144,30,1,40,35,18,2,1,18,48
90,12,22,130,137,34,30,62,35,22,5,1,125,139
91,14,21,86,152,30,50,50,38,20,5,1,127,129
92,5,25,183,144,72,45,1,1,23,7,1,164,104
93,31,28,252,189,20,45,220,10,26,9,1,237,118
94,18,35,150,179,76,52,35,70,16,9,1,100,121
95,26,33,136,179,74,46,80,74,19,8,1,81,121
96,27,32,198,144,30,90,80,80,23,8,2,354,140
97,26,32,160,173,80,50,65,10,16,7,2,595,147
98,2,21,90,128,30,16,50,40,13,5,1,54,108
99,31,35,98,174,80,55,83,50,18,9,2,742,140
100,31,38,270,216,30,60,100,100,30,8,1,863,141
101,31,38,270,216,30,60,100,100,30,8,1,863,141
102,31,44,315,202,200,45,190,80,40,7,1,151,112
103,13,23,108,116,32,34,50,40,17,7,1,57,144
104,19,20,96,130,36,32,60,40,16,6,1,63,171
105,13,20,90,116,30,70,40,40,20,5,1,69,117
106,13,40,423,172,80,60,140,80,40,6,2,138,99
107,31,45,405,254,100,40,120,100,40,15,1,143,102
108,13,41,432,237,90,35,140,100,40,9,1,147,106
109,0,0,1,54,83,1,1,1,25,5,1,0,0
110,25,0,1,46,0,14,0,0,40,6,2,150,0
111,0,0,70,55,10,20,20,20,20,5,1,100,0
112,0,0,1,74,16,0,30,20,40,6,1,250,0
113,0,0,300,50,0,0,20,20,40,6,1,380,0
114,0,0,1,56,10,10,10,15,40,7,3,600,0
115,0,0,1,60,20,10,30,30,40,8,2,1200,0
116,0,0,300,55,20,5,40,25,40,9,2,2000,0
117,0,0,20,80,47,10,5,92,15,0,2,0,0
118,0,0,1,50,22,10,6,1,40,0,1,25000,0
119,0,0,1,10,1,30,1,20,40,0,1,30000,0
120,0,0,1000,160,50,10,99,36,40,33,2,50000,0
121,0,0,1000,100,40,10,30,60,40,13,2,50000,0
122,0,0,500,110,40,10,30,60,40,21,2,55000,0
123,0,0,500,70,30,10,10,70,40,33,1,0,0
124,0,0,1,80,30,10,10,60,40,33,1,0,0
125,0,0,20,10,10,10,10,10,16,0,1,0,0
126,0,0,1,80,0,10,80,30,40,13,3,28000,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0
