name,type,level,hp,attack,defense,agility,wisdom,mdef,range,num_attacks,exp,silver
Enemy_75,22,46,506,227,114,78,250,70,20,1,186,81
Enemy_76,24,43,301,248,142,56,70,100,30,1,724,177
Enemy_77,24,46,303,259,1,60,89,120,19,1,1901,251
Enemy_78,24,66,801,164,142,60,100,200,30,2,2258,315
Enemy_79,24,46,466,271,61,76,80,150,21,2,1779,378
Enemy_80,3,2,1,72,84,20,10,8,10,1,0,0
Enemy_81,17,7,33,70,30,20,10,10,10,1,4,15
Enemy_82,25,6,25,67,21,20,24,18,8,1,6,29
Enemy_83,2,10,38,68,15,26,30,24,14,1,10,33
Enemy_84,24,12,32,116,22,35,45,24,20,1,7,92
Enemy_85,3,14,49,151,36,21,59,15,8,1,6,61
Enemy_86,6,15,107,95,11,35,39,29,10,1,15,230
Enemy_87,2,17,90,194,22,31,45,50,8,1,15,161
Enemy_88,22,17,60,97,7,38,40,40,12,1,16,99
Enemy_89,4,19,134,129,42,1,40,35,18,1,83,209
Enemy_90,12,22,121,84,41,30,62,35,22,1,27,128
Enemy_91,14,21,73,108,115,50,50,38,20,1,106,83
Enemy_92,5,25,120,215,54,45,1,1,23,1,67,197
Enemy_93,31,28,212,175,24,45,220,10,26,1,300,89
Enemy_94,18,35,327,171,50,52,35,70,16,1,480,420
Enemy_95,26,33,152,197,78,46,80,74,19,1,87,125
Enemy_96,27,32,219,178,99,90,80,80,23,2,676,174
Enemy_97,26,32,319,254,45,50,65,10,16,2,394,291
Enemy_98,2,21,142,151,43,16,50,40,13,1,66,118
Enemy_99,31,35,243,301,64,55,83,50,18,2,1030,130
Enemy_100,31,38,312,176,30,60,100,100,30,1,994,102
Enemy_101,31,38,288,183,70,60,100,100,30,1,1006,256
Enemy_102,31,44,319,292,75,45,190,80,40,1,1110,203
Enemy_103,13,23,139,109,26,34,50,40,17,1,41,163
Enemy_104,19,20,4,3,106,32,60,40,16,1,123,1102
Enemy_105,13,20,112,153,26,70,40,40,20,1,49,96
Enemy_106,13,40,249,237,18,60,140,80,40,2,713,221
Enemy_107,31,45,301,403,135,40,120,100,40,1,1518,340
Enemy_108,13,41,412,199,77,35,140,100,40,1,936,183
Enemy_109,0,0,363,57,25,1,1,1,25,1,2945,0
Enemy_110,25,0,15,28,6,14,0,0,40,2,1,8
Enemy_111,0,0,12,38,1,20,20,20,20,1,2,9
Enemy_112,0,0,19,48,21,0,30,20,40,1,4,24
Enemy_113,0,0,1,99,0,0,20,20,40,1,21684,0
Enemy_114,0,0,1,39,0,10,10,15,40,3,188,0
Enemy_115,0,0,25,12,12,10,30,30,40,2,0,0
Enemy_116,0,0,1,13,1,5,40,25,40,2,42159,0
Enemy_117,0,0,81,47,13,10,5,92,15,2,138,0
Enemy_118,0,0,1,55,13,10,6,1,40,1,815,0
Enemy_119,0,0,634,109,53,30,1,20,40,1,69352,0
Enemy_120,0,0,1,64,22,10,99,36,40,2,332,0
Enemy_121,0,0,465,56,41,10,30,60,40,2,0,0
Enemy_122,0,0,769,127,35,10,30,60,40,2,43485,0
Enemy_123,0,0,19,100,52,10,10,70,40,1,0,0
Enemy_124,0,0,1,80,23,10,10,60,40,1,1636,0
Enemy_125,0,0,0,0,0,10,10,10,16,1,0,0
Enemy_126,0,0,1,52,27,10,80,30,40,3,22868,0
Enemy_127,0,0,293,52,0,0,0,0,0,0,379,0
