index,offset,orig_buy,new_buy,orig_sell,new_sell,orig_stat,new_stat,rare,element,flag8,subtype,category
145,0x7faaf0,24,39,12,19,4,4,3,0,2,0,4
146,0x7faafc,140,182,70,91,1287,1287,3,0,66,6,4
147,0x7fab08,280,192,140,96,1290,1290,3,0,114,16,4
148,0x7fab14,560,731,280,365,12,15,3,0,2,0,4
149,0x7fab20,760,546,380,273,15,13,3,0,2,0,4
150,0x7fab2c,40,33,20,16,6,7,3,0,2,0,16
151,0x7fab38,160,269,80,134,9,8,3,0,2,0,16
152,0x7fab44,300,260,150,130,12,11,3,0,2,0,16
153,0x7fab50,690,1048,345,524,16,20,3,0,2,0,16
154,0x7fab5c,180,159,90,79,522,522,3,0,66,5,8
155,0x7fab68,340,377,170,188,1037,1037,3,0,66,0,8
156,0x7fab74,720,740,360,370,1553,1553,3,0,66,7,8
157,0x7fab80,1200,821,600,410,1,1,243,0,2,0,24
158,0x7fab8c,1200,966,600,483,1,1,243,0,2,0,4
159,0x7fab98,840,799,420,399,3843,3843,3,0,50,40,26
160,0x7faba4,700,1039,350,519,1294,1294,3,0,66,41,26
161,0x7fabb0,18,20,6,10,4,4,3,0,2,0,128
162,0x7fabbc,2980,1873,1490,936,1281,1281,227,0,18,1,32
163,0x7fabc8,1200,1559,600,779,10,9,4,0,1,2,255
164,0x7fabd4,1200,1098,600,549,10,12,4,0,4,8,255
165,0x7fabe0,1000,1196,500,598,0,0,4,0,0,33,255
166,0x7fabec,1200,1528,600,764,10,10,4,0,3,13,255
167,0x7fabf8,1500,1474,750,737,0,0,4,0,0,21,255
168,0x7fac04,1800,2263,900,1131,0,0,4,0,0,23,255
169,0x7fac10,1000,1606,500,803,0,0,4,0,0,57,255
170,0x7fac1c,3000,4185,1500,2092,0,0,4,0,0,45,255
171,0x7fac28,1000,1629,500,814,0,0,4,0,0,42,255
172,0x7fac34,1000,1450,500,725,0,0,4,0,0,43,255
173,0x7fac40,3500,2605,1750,1302,3855,3855,4,0,82,32,255
174,0x7fac4c,3000,3680,1500,1840,0,0,4,0,0,50,255
175,0x7fac58,1200,932,600,466,10,12,4,0,7,39,255
176,0x7fac64,3000,4490,1500,2245,15,18,4,0,3,14,255
177,0x7fac70,3000,5002,1500,2501,1,1,4,0,6,0,255
178,0x7fac7c,3000,2007,1500,1003,0,0,4,0,0,0,255
179,0x7fac88,1200,1882,600,941,10,9,4,0,2,4,255
180,0x7fac94,1200,1639,600,819,10,9,4,0,5,24,255
181,0x7faca0,1400,2367,700,1183,0,0,4,0,0,48,255
182,0x7facac,0,0,0,0,0,0,84,0,0,0,0
183,0x7facb8,3000,2954,1500,1477,0,0,4,0,0,23,255
184,0x7facc4,3000,5053,1500,2526,0,0,4,10,0,0,255
185,0x7facd0,4000,6141,2000,3070,20,23,4,0,3,0,255
186,0x7facdc,3000,2426,2500,1213,15,18,4,0,7,0,255
187,0x7face8,2500,2018,1250,1009,0,0,4,11,0,0,255
188,0x7facf4,3000,2046,1500,1023,0,0,4,0,0,29,255
189,0x7fad00,3000,1987,1500,993,0,0,4,0,0,30,255
190,0x7fad0c,0,0,0,0,0,0,4,0,0,0,12
191,0x7fad18,8000,6627,4000,3313,520,520,4,0,99,31,255
192,0x7fad24,2500,3394,1250,1697,0,0,4,0,0,35,229
193,0x7fad30,1200,1399,600,699,0,0,4,14,0,0,255
194,0x7fad3c,1200,1347,600,673,0,0,4,16,0,0,255
195,0x7fad48,1200,2073,600,1036,0,0,4,15,0,0,255
196,0x7fad54,1200,1130,600,565,0,0,4,17,0,0,255
197,0x7fad60,3000,3292,1500,1646,0,0,4,4,0,0,255
198,0x7fad6c,3000,4044,1500,2022,0,0,4,0,0,38,255
199,0x7fad78,6000,6913,3000,3456,0,0,4,0,0,53,255
